รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,ต้นทุน (บาท),ราคาขาย (บาท),Supplier,จำนวนคงเหลือ,หน่วย,หมายเหตุ,วันที่อัปเดต
TRP-001,ถ้วยรางวัลคริสตัล 10 นิ้ว,ถ้วยรางวัล,350,850,Crystal Thai Co.,25,ชิ้น,รุ่นขายดี,2026-03-03
TRP-002,ถ้วยรางวัลโลหะ ทอง 12 นิ้ว,ถ้วยรางวัล,480,1200,Metal Works Ltd.,15,ชิ้น,,2026-03-03
SHD-001,โล่ไม้สัก พร้อมแผ่นทอง,โล่รางวัล,280,650,สหชัยไม้สัก,30,ชิ้น,สั่งขั้นต่ำ 10 ชิ้น,2026-03-03
SHD-002,โล่อะคริลิค A4,โล่รางวัล,120,380,Acrylic Plus,50,ชิ้น,,2026-03-03
MDL-001,เหรียญรางวัล 5 ซม. ทอง,เหรียญรางวัล,35,120,Medal Factory,200,เหรียญ,มี 3 สี ทอง/เงิน/ทองแดง,2026-03-03
MDL-002,เหรียญรางวัล 7 ซม. พร้อมริบบิ้น,เหรียญรางวัล,55,180,Medal Factory,150,เหรียญ,,2026-03-03
KEY-001,พวงกุญแจอะคริลิค,พวงกุญแจ,15,65,Acrylic Plus,500,ชิ้น,สั่งขั้นต่ำ 100,2026-03-03
PIN-001,เข็มกลัดโลหะ ชุบทอง,เข็มกลัด/Pin,25,90,Metal Works Ltd.,300,ชิ้น,,2026-03-03
PKG-001,กล่องกำมะหยี่ ถ้วยรางวัล,บรรจุภัณฑ์,45,0,สหชัยไม้สัก,100,กล่อง,ต้นทุนรวมในราคาถ้วย,2026-03-03
MAT-001,แผ่นทองเหลือง สำหรับสลัก,วัตถุดิบ,8,0,Metal Works Ltd.,1000,แผ่น,ใช้ภายใน,2026-03-03
